"geography","Architecture and Design","Art-related Retail","Arts and architectural manufacturing","Culture and Preservation","Machinery and communications manufacturing","Marketing","Materials manufacturing","Media","Motion picture and teleproduction","Music Recording","Printing","Publishing","Visual Arts, Music and Other Performing Arts","Wholesale art stores"
"Acton",15,16,0,6,0,1,0,2,2,1,5,3,12,0
"Arlington",21,21,1,9,0,3,1,5,6,1,4,6,28,0
"Ashland",11,6,0,3,0,0,0,1,1,0,2,0,5,0
"Bedford",4,13,1,3,1,2,1,4,1,1,1,4,4,0
"Bellingham",4,11,1,2,0,1,0,5,1,0,1,0,5,0
"Belmont",15,12,0,3,1,0,0,8,5,0,4,2,9,0
"Beverly",19,25,1,8,1,7,1,13,5,0,10,12,28,0
"Bolton",8,3,0,2,0,0,0,2,0,0,1,0,2,0
"Boston",578,468,28,171,14,125,3,223,80,32,74,179,422,23
"Boxborough",0,2,0,1,0,0,0,3,0,0,1,0,3,0
"Braintree",14,26,1,4,2,7,2,3,3,1,13,7,20,0
"Brookline",29,26,0,17,0,6,0,10,5,0,6,10,36,1
"Burlington",13,34,0,6,1,5,1,7,4,0,4,5,14,1
"Cambridge",129,95,2,38,8,18,2,62,27,10,14,53,113,2
"Canton",7,25,1,7,0,5,0,4,2,1,4,4,11,1
"Carlisle",2,0,0,2,1,1,1,1,1,0,0,1,3,0
"Chelsea",6,11,1,3,1,0,0,6,0,0,1,2,7,1
"Cohasset",8,5,0,6,0,0,0,1,1,1,0,3,2,0
"Concord",27,20,2,17,0,2,1,7,4,0,5,9,24,1
"Danvers",10,23,0,7,1,1,0,4,1,2,3,3,14,0
"Dedham",14,13,0,6,2,2,0,11,4,1,3,4,11,1
"Dover",1,2,0,4,0,2,0,2,0,0,0,0,1,0
"Duxbury",13,12,0,8,0,1,0,2,1,0,1,3,8,0
"Essex",3,4,2,1,0,0,0,1,1,0,1,0,2,0
"Everett",5,11,6,2,0,1,0,5,0,0,6,6,7,3
"Foxborough",11,11,0,6,0,0,0,2,2,0,2,1,13,1
"Framingham",24,50,0,11,4,5,0,17,5,1,12,15,31,2
"Franklin",11,12,0,4,1,2,0,3,2,2,2,1,20,1
"Gloucester",19,34,1,16,0,6,0,5,3,0,2,6,22,0
"Hamilton",5,2,0,1,0,0,0,1,0,0,1,0,7,0
"Hanover",4,21,0,3,0,0,0,3,1,1,6,2,8,0
"Hingham",32,14,0,7,1,2,0,3,2,1,5,4,8,1
"Holbrook",0,3,2,0,0,0,0,2,0,0,2,3,4,0
"Holliston",5,7,0,0,0,1,0,3,1,1,3,2,9,0
"Hopkinton",14,5,0,4,0,0,0,3,1,0,1,1,2,0
"Hudson",5,12,0,2,0,2,0,5,1,0,9,1,7,1
"Hull",3,1,0,2,0,1,0,2,0,0,0,4,7,0
"Ipswich",16,16,0,7,0,0,0,2,1,1,1,1,6,1
"Lexington",22,14,0,7,1,5,0,6,2,1,2,4,22,1
"Lincoln",13,3,0,11,0,2,0,1,0,1,0,0,6,0
"Littleton",4,4,0,1,1,1,0,1,1,0,0,3,3,0
"Lynn",11,18,4,5,1,3,0,8,2,4,4,7,22,1
"Lynnfield",9,7,0,1,0,1,0,3,0,0,1,3,2,0
"Malden",9,10,1,4,0,2,0,6,1,1,4,3,18,0
"Manchester-by-the-Sea",10,6,0,3,0,0,0,1,0,1,0,1,3,0
"Marblehead",28,13,0,6,0,3,1,5,3,1,0,2,17,0
"Marlborough",9,34,0,2,2,3,0,8,4,1,10,2,15,1
"Marshfield",6,6,0,5,1,1,0,4,0,0,1,2,4,0
"Maynard",8,9,1,2,0,0,0,6,4,0,1,2,4,0
"Medfield",4,7,0,3,1,1,0,1,2,0,2,3,7,0
"Medford",16,14,0,7,1,1,0,11,0,0,3,4,23,1
"Medway",4,6,2,5,0,1,1,3,1,0,3,0,6,1
"Melrose",9,8,0,0,2,3,0,2,1,0,1,1,17,1
"Middleton",3,4,1,1,0,2,0,1,0,0,2,0,6,0
"Milford",5,10,0,0,1,3,0,6,3,2,5,3,10,0
"Millis",1,4,0,1,1,0,0,1,0,0,1,1,1,0
"Milton",9,7,0,10,0,1,0,4,0,0,1,4,8,0
"Nahant",1,1,0,3,0,0,0,1,1,0,0,0,3,0
"Natick",25,46,0,9,1,3,0,10,4,0,6,10,33,1
"Needham",17,23,0,8,0,4,0,17,3,3,4,6,18,0
"Newton",77,80,3,16,4,21,0,23,13,3,4,26,72,1
"Norfolk",2,1,0,2,0,0,0,1,0,0,1,0,3,0
"North Reading",4,6,0,2,1,1,0,2,2,1,1,0,16,0
"Norwell",10,6,1,4,0,4,0,2,0,0,2,3,5,0
"Norwood",10,28,1,3,1,1,1,6,8,1,7,6,17,2
"Peabody",17,27,3,4,0,4,0,9,1,1,11,1,22,2
"Pembroke",4,11,1,2,0,3,0,4,2,0,5,2,8,0
"Quincy",27,26,1,14,1,2,0,28,6,3,13,13,26,0
"Randolph",2,7,0,0,0,1,0,3,3,0,4,2,10,0
"Reading",12,8,0,1,0,1,0,2,4,1,0,1,16,1
"Revere",5,9,0,2,0,1,0,5,1,1,5,11,6,2
"Rockland",9,12,1,3,2,1,0,2,1,0,9,1,14,0
"Rockport",7,35,2,6,0,1,0,1,2,0,0,3,4,0
"Salem",27,31,3,21,1,3,1,3,3,1,5,7,13,1
"Saugus",7,17,3,6,0,1,0,4,0,0,0,1,10,1
"Scituate",6,11,0,7,0,2,0,2,2,0,1,0,6,0
"Sharon",3,9,0,4,0,2,0,2,1,0,1,0,9,0
"Sherborn",6,1,0,1,0,2,0,2,0,0,0,1,4,0
"Somerville",50,29,2,23,4,5,0,10,11,4,10,20,42,1
"Southborough",9,4,0,1,1,2,0,1,1,0,1,0,2,1
"Stoneham",13,10,0,4,0,2,0,3,1,1,6,2,18,0
"Stoughton",11,12,0,2,0,0,1,3,0,1,9,3,15,0
"Stow",4,3,1,3,0,1,0,1,1,0,1,1,1,0
"Sudbury",17,13,0,3,0,2,0,2,1,0,1,5,15,0
"Swampscott",5,8,0,2,0,2,0,1,1,0,0,1,5,1
"Topsfield",4,6,1,4,0,1,0,2,0,0,1,1,5,0
"Wakefield",13,20,0,2,1,4,0,2,2,0,3,4,10,0
"Walpole",12,14,1,2,0,5,0,4,0,1,1,0,13,0
"Waltham",35,42,1,14,5,8,0,15,4,2,31,8,43,1
"Watertown",27,20,0,10,1,6,1,6,14,1,3,6,27,0
"Wayland",8,6,0,3,0,1,0,5,1,0,2,1,10,0
"Wellesley",28,24,0,7,0,3,0,5,3,0,3,5,19,0
"Wenham",3,2,0,1,0,0,0,0,0,0,0,1,5,0
"Weston",10,1,0,7,0,1,0,2,0,0,0,3,4,0
"Westwood",7,4,0,0,0,1,1,5,0,0,1,0,6,0
"Weymouth",14,19,1,3,1,2,0,6,2,3,6,4,20,0
"Wilmington",6,9,2,1,0,1,0,3,0,0,6,3,9,2
"Winchester",21,18,1,3,0,3,0,4,3,1,4,1,13,0
"Winthrop",7,6,0,3,0,0,0,2,1,0,0,0,5,0
"Woburn",22,36,4,5,1,9,0,12,5,1,30,14,21,2
"Wrentham",2,8,0,1,0,0,0,1,0,0,2,1,3,0
